Independent Variables,Dependent Variable,RMSE,R2,Adj R2,Cross Validation RMSE
"['Year', 'Bottles Sold']",Sale (Dollars) Per Capita - Log,0.5990142031147438,0.1512888683143232,0.14629277629557014,0.5842244674620966
"['Year', 'Sale (Dollars)']",Sale (Dollars) Per Capita,7.949118472353043,0.22197198352526093,0.21739198048493868,7.802807569041502
"['Year', 'Sale (Dollars)']",Sale (Dollars) Per Capita - Sqrt,0.9448299731630969,0.21061375626054935,0.2059668909552398,0.9664003412337194
"['Year', 'Sale (Dollars)']",Sale (Dollars) Per Capita - Log,0.5693760101921798,0.14412054540357722,0.13908225575179556,0.585048583440294
"['Year', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita,7.658064327279437,0.23371777073990163,0.22920691140650895,7.801951805195148
"['Year', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita - Sqrt,0.9554753379117555,0.20581445830613265,0.20113934106290154,0.9615154045227005
"['Year', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita - Log,0.5943082497873161,0.14671082814567704,0.1416877866630909,0.5819787296605683
"['Year', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita,8.242213978131938,0.21448180745163448,0.20985771213126148,7.784658473388765
"['Year', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita - Sqrt,0.9368902673337292,0.2103744261589957,0.20572615199363287,0.9591493588203
"['Year', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita - Log,0.6037107009732613,0.15081744255041862,0.1458185753983976,0.5817904515762105
"['Year', 'Wages Per Capita']",Sale (Dollars) Per Capita,6.904745174887693,0.4372766803872874,0.43396410749773495,6.564054588016836
"['Year', 'Wages Per Capita']",Sale (Dollars) Per Capita - Sqrt,0.7906473581463289,0.46419382097322937,0.46103970071405775,0.7719958113101028
"['Year', 'Wages Per Capita']",Sale (Dollars) Per Capita - Log,0.4841691302603674,0.4138395285283194,0.4103889885932396,0.4797437106734188
"['Year', 'Average Emp Per Capita']",Sale (Dollars) Per Capita,6.1648414525609,0.5309521706435862,0.5281910355186037,6.200437119295345
"['Year', 'Average Emp Per Capita']",Sale (Dollars) Per Capita - Sqrt,0.7183587280974465,0.5544014706265552,0.5517783740592355,0.7163679289228693
"['Year', 'Average Emp Per Capita']",Sale (Dollars) Per Capita - Log,0.4237076694758356,0.5134091979821066,0.5105447929665488,0.44773717146852005
"['Quarter', 'Bottle Volume (ml)']",Sale (Dollars) Per Capita,7.88553937423827,0.24972628443387113,0.2469719756395754,7.647067929629266
"['Quarter', 'Bottle Volume (ml)']",Sale (Dollars) Per Capita - Sqrt,0.9141583652816605,0.26121469844720113,0.2585025644473744,0.9417124048890099
"['Quarter', 'Bottle Volume (ml)']",Sale (Dollars) Per Capita - Log,0.601614014215666,0.16885452967269987,0.1658033348477097,0.573016562566937
"['Quarter', 'State Bottle Cost']",Sale (Dollars) Per Capita,7.421938443120266,0.2656373111617386,0.26294141289140727,7.6169920569019975
"['Quarter', 'State Bottle Cost']",Sale (Dollars) Per Capita - Sqrt,0.9569440378273938,0.23030136130991197,0.22747574222514666,0.9462676234162863
"['Quarter', 'State Bottle Cost']",Sale (Dollars) Per Capita - Log,0.5820546560586338,0.16471627141040202,0.16164988474157083,0.5757598364264608
"['Quarter', 'State Bottle Retail']",Sale (Dollars) Per Capita,7.978117183614344,0.24427391149745348,0.24149958664979354,7.671709526487071
"['Quarter', 'State Bottle Retail']",Sale (Dollars) Per Capita - Sqrt,0.9471566216287615,0.23340612072388722,0.23059189943432723,0.9444059598379336
"['Quarter', 'State Bottle Retail']",Sale (Dollars) Per Capita - Log,0.6049368839904223,0.16394568863481884,0.1608764731011728,0.5758755385166507
